Ref,Val,Package,PosX,PosY,Rot,Side
"J201","USB_C_Receptacle_USB2.0","USB-C-SMD_GT-USB-7052_1",-9.239716,-9.250629,-45.000000,top
"JP101","TERM","R_0402_1005Metric",5.875000,-4.075000,0.000000,top
"L501","33u","L_1210_3225Metric",14.525000,-7.550000,0.000000,top
"Q501","MMBT5551","SOT-23",12.762500,8.150000,0.000000,top
"R101","5k1","R_0402_1005Metric",-4.175000,-10.875000,90.000000,top
"R102","5k1","R_0402_1005Metric",-7.650000,-5.375000,90.000000,top
"R103","120R","R_0402_1005Metric",5.875000,-3.000000,0.000000,top
"R104","0R","R_0402_1005Metric",3.925000,-3.000000,180.000000,top
"R105","0R","R_0402_1005Metric",3.925000,-4.075000,0.000000,top
"R301","5k1","R_0402_1005Metric",-15.800000,-5.050000,180.000000,top
"R302","5k1","R_0402_1005Metric",-11.350000,-4.325000,-135.000000,top
"R303","51k","R_0402_1005Metric",-8.250000,10.575000,180.000000,top
"R304","3k","R_0402_1005Metric",-8.250000,9.500000,180.000000,top
"R306","10k","R_0402_1005Metric",-10.625000,8.275000,45.000000,top
"R401","10k","R_0402_1005Metric",-15.800000,-4.000000,180.000000,top
"R501","200k","R_0402_1005Metric",10.890000,-9.360000,180.000000,top
"R502","51k","R_0402_1005Metric",9.365000,-9.810000,-90.000000,top
"R503","22k","R_0402_1005Metric",8.290000,-9.810000,-90.000000,top
"R504","5R","R_0603_1608Metric",15.500000,7.925000,90.000000,top
"R505","15k","R_0402_1005Metric",9.850000,7.000000,0.000000,top
"R601","5k1","R_0402_1005Metric",15.865000,-1.950000,0.000000,top
"U201","SRV05-4","SOT-23-6",-5.400000,-6.500000,-90.000000,top
"U301","STM32G431","QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm",-10.349651,1.935051,-45.000000,top
"U302","SN65HVD230","SOIC-8_3.9x4.9mm_P1.27mm",0.550000,-8.045000,0.000000,top
"U401","MT6835","MagnTek TSSOP-16-1EP_4.4x5mm_P0.65mm",0.000000,0.000000,90.000000,top
"U501","MAX15062CATA+T","TDFN-8_L2.0-W2.0-P0.50-BL",9.215000,-7.660000,-90.000000,top
"U601","L6226QTR","VQFN-32_L5.0-W5.0-P0.50-TL-EP",7.700000,2.750000,-135.000000,top
"U701","ACS711KEXLT-15AB-T","IC-SMD_ACS711KEXLT-15AB-T",-5.300000,9.050000,180.000000,top
"U702","ACS711KEXLT-15AB-T","IC-SMD_ACS711KEXLT-15AB-T",4.650000,9.000000,180.000000,top
"U703","ACS711KEXLT-15AB-T","IC-SMD_ACS711KEXLT-15AB-T",-0.600000,9.000000,180.000000,top
"Y301","12MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",-14.476777,7.076142,-135.000000,top
